,Actual_Rgo,Calculated_Rgo,Actual_Bo,Calculated_Bg,Actual_Bg,Calculated_Bw,Actual_Bw,Calculated_Bo,Actual_vo,Calculated_vo,Actual_vg,Calculated_vg,Actual_vw,Calculated_vw,pressure
24,63.22251007,111.67395240986066,1.124452289,0.003991579829054594,0.003075503,1.0783767983858903,1.02725296,1.229971296111479,3.797999094,0.5316639490366151,0.013772408,0.01607840651546447,0.401021873,0.2161662674361446,924.2424242
25,70.91838003,116.61651069269578,1.128134378,0.0038448369766455365,0.002954643,1.078322417495151,1.027211744,1.2323848645711473,3.446808655,0.5261954565907323,0.013860905,0.0161239069551837,0.401633353,0.21649587903012116,958.5858586
26,79.13883627,121.59230018037158,1.132067456,0.0037083599127354437,0.002842319,1.0782673306938746,1.027169912,1.234814660616469,3.140920766,0.5208681317562504,0.013951478,0.01617017653619456,0.402247661,0.21682701466056423,992.9292929
27,87.89042903,126.60038298417386,1.136254655,0.0035811197873316116,0.002737679,1.078211537982231,1.027127462,1.2372602262541355,2.873065242,0.5156767448041238,0.014044133,0.016217204675941056,0.402864796,0.2171596743264896,1027.272727
28,97.17901222,131.6398784499223,1.140698778,0.0034622208466092656,0.002639983,1.0781550393584114,1.027084395,1.2397211314398189,2.637345088,0.510616272638461,0.014138875,0.016264981145487894,0.403484759,0.21749385803859886,1061.616162
29,107.0097953,136.70995732927577,1.145402316,0.0033508795921263633,0.002548585,1.0780978348255448,1.027040711,1.2421969712318828,2.428941357,0.5056818965745227,0.014235706,0.016313496013288038,0.404107548,0.21782956577839702,1095.959596
30,117.3873911,141.80983805834984,1.150367477,0.0032464077071802195,0.002462915,1.0780399243819963,1.026996409,1.2446873639741418,2.243888574,0.5008689971897975,0.014334629,0.01636273960922569,0.404733166,0.21816679755559257,1130.30303
31,128.3158602,146.93878228240936,1.155596203,0.0031481980317926957,0.002382472,1.0779813080260485,1.026951491,1.2471919491104626,2.078902245,0.4961731494504173,0.014435643,0.01641270248189085,0.40536161,0.2185055533800715,1164.646465
32,139.798752,152.09609080780643,1.161090193,0.0030557129467468037,0.002306812,1.0779219857611153,1.026905955,1.2497103852080005,1.931245241,0.491590117064422,0.01453875,0.01646337536000814,0.405992882,0.21884583323210618,1198.989899
33,151.8391423,157.28110129605994,1.166850918,0.002968474674889524,0.00223554,1.0778619575855004,1.026859802,1.252242348831163,1.798623434,0.4871158451389248,0.014643944,0.01651474913113751,0.406626981,0.21918763712153833,1233.333333
34,164.4396685,162.493184958564,1.172879639,0.0028860571826170092,0.002168304,1.0778012234974248,1.026813032,1.2547875329275568,1.679103574,0.48274645378875736,0.014751223,0.016566814810960055,0.407263907,0.21953096505838696,1267.676768
35,177.6025623,167.7317435332568,1.179177426,0.0028080793618017043,0.002104788,1.0777397835004252,1.026765645,1.2573456453516254,1.571048192,0.47847823154031116,0.01486058,0.016619563515363464,0.407903661,0.21987581702265824,1302.020202
36,191.3296787,172.99620788954115,1.185745165,0.002734199243188805,0.002044711,1.0776776375927437,1.02671764,1.259916408183397,1.473063645,0.47430762756846345,0.014972007,0.016672986449073238,0.408546242,0.22022219302432688,1336.363636
37,205.6225247,178.28603549732125,1.192583577,0.0026641090997047852,0.001987817,1.07761478577254,1.026669019,1.262499556492555,1.383958393,0.47023124513960546,0.015085492,0.016727074883230542,0.409191651,0.22057009307354525,1370.707071
38,220.4822843,183.60070808166535,1.199693229,0.002597531266927129,0.001933876,1.077551228043474,1.02661978,1.265094837193156,1.302709284,0.46624583511553325,0.015201025,0.01678182013485569,0.409839886,0.22091951715005306,1405.050505
39,235.9098422,188.93973084283493,1.207074544,0.002534214544913961,0.001882682,1.0774869644037264,1.026569924,1.2677020086627495,1.228434149,0.46234828856106225,0.015318588,0.016837213562584972,0.410490949,0.22127046526395835,1439.393939
40,251.9058059,194.30263044870384,1.214727813,0.002473931120254422,0.001834044,1.0774219948513943,1.026519451,1.2703208397620298,1.160369411,0.4585356306241888,0.015438166,0.016893246550128718,0.41114484,0.22162293742554634,1473.737374
41,268.4705259,199.68895315239294,1.222653204,0.0024164739079094067,0.001787791,1.0773563193902622,1.02646836,1.2729511089156313,1.097851694,0.4548050145866836,0.015559738,0.01694991049102601,0.411801557,0.2219769336142908,1508.080808
42,285.6041147,205.09826444132773,1.230850769,0.002361654233499583,0.001743767,1.077289938018448,1.026416653,1.2755926039407568,1.040302638,0.45115371515921393,0.015683283,0.017007196789650996,0.412461102,0.2223324538404326,1542.424242
43,303.306464,210.5301473935136,1.239320458,0.002309299833287648,0.001701828,1.077222850733988,1.026364328,1.2782451212445052,0.98721631,0.44757912302712316,0.015808775,0.017065096848962496,0.413123475,0.22268949811439026,1576.767677
44,321.5772609,215.98420111985848,1.248062121,0.0022592531093376645,0.001661843,1.0771550575407893,1.026311386,1.2809084650632234,0.93814871,0.4440787396002079,0.015936189,0.01712360205915153,0.413788674,0.22304806641537125,1611.111111
45,340.416003,221.4600407210076,1.257075517,0.0022113695903852484,0.001623692,1.0770865584369087,1.026257827,1.2835824474414252,0.892708999,0.44065017108240606,0.016065496,0.01718270380265932,0.414456702,0.22340815875374967,1645.454545
46,359.8220126,226.95729590268868,1.266360323,0.0021655165944290413,0.001587264,1.0770173534203207,1.026203651,1.2862668875556333,0.850552121,0.4372911237314111,0.016196663,0.017242393445116595,0.415127556,0.2237697751400771,1679.79798
47,379.7944489,232.47560965097713,1.275916135,0.002121572051582681,0.001552456,1.0769474424950556,1.026148857,1.288961611067479,0.811372591,0.4339993993200406,0.016329658,0.017302662326897977,0.415801237,0.22413291555329462,1714.141414
48,400.3323209,238.01463841547942,1.28574248,0.00207942345440474,0.001519175,1.0768768256591086,1.026093447,1.2916664502131552,0.774899225,0.43077288996021434,0.016464444,0.017363501771243527,0.416477746,0.22449758000390957,1748.484848
49,421.4344977,243.57405091294999,1.295838817,0.0020389669409085803,0.001487334,1.0768055029103925,1.026037419,1.2943812432191943,0.740890673,0.4276095740418209,0.016600984,0.01742490307758444,0.417157083,0.22486376850260661,1782.828283
50,443.0997199,249.15352697296632,1.306204542,0.002000106481129299,0.00145685,1.076733474253061,1.025980774,1.2971058337387837,0.709131601,0.424507512355571,0.016739239,0.017486857515273534,0.417839246,0.2252314810280608,1817.171717
51,465.3266083,254.75275805464048,1.316838997,0.001962753143192788,0.001427651,1.0766607396829193,1.025923512,1.2998400711040883,0.679429436,0.4214648435174371,0.016879166,0.01754935633594943,0.418524237,0.2256007176016858,1851.515152
52,488.1136733,260.3714453728759,1.327741469,0.0019268244559174396,0.001399665,1.0765872992042034,1.025865633,1.3025838094112576,0.651611564,0.4184797809571289,0.017020723,0.017612390759496832,0.419212056,0.22597147820197905,1885.858586
53,511.4593237,266.00930050403036,1.338911195,0.0018922438240315269,0.001372828,1.0765131528148055,1.025807136,1.305336907816185,0.625522924,0.41555060875114647,0.017163864,0.017675951987663335,0.419902701,0.22634376283966975,1920.20202
