p_sat,Rgo,Bo,Bg,Bw,Visc_o,Visc_g,Visc_w
2900,1057.017027,1.56340334,0.00083277,1.0209594,0.377562186,0.026242397,0.469283454
2915,1047.228605,1.557401281,0.000831295,1.020328899,0.386809758,0.025784925,0.476059451
2915.025,931.1522932,1.482987273,0.000785984,1.013227594,0.464798397,0.025635079,0.573338298
2923,1271.255138,1.730900801,0.001088921,1.060917654,0.197997785,0.023364789,0.266330613
2944,1263.641988,1.721919945,0.001070805,1.060862081,0.197858428,0.024168931,0.266616779
2965,1050.495512,1.558122197,0.000828159,1.019921781,0.393814856,0.025187712,0.480559198
2965,1043.128564,1.556438336,0.000840854,1.022328175,0.391899582,0.025409508,0.455474271
2965,1016.291572,1.534394686,0.000802365,1.017298145,0.415089563,0.026092541,0.512167826
2976,1071.980388,1.569748265,0.000825647,1.020194354,0.383309772,0.025449835,0.477547779
2988,1139.907855,1.609126827,0.000834137,1.022582103,0.347689215,0.025913898,0.45304952
2992,1139.345159,1.606248712,0.000821914,1.021055926,0.351906732,0.026158743,0.468339683
3005,1388.809227,1.78347341,0.001010335,1.049348985,0.200588382,0.023544094,0.300757987
3005.696,1081.022982,1.572195634,0.000811156,1.019831332,0.381612062,0.026314214,0.481563181
3066,1312.678356,1.745909148,0.001041117,1.060534173,0.19421495,0.024406407,0.268291884
3067,1252.218573,1.703097138,0.000990455,1.049188555,0.241760222,0.024050207,0.301718409
3131,1205.505428,1.638287239,0.000801875,1.021040146,0.339912999,0.026430894,0.468563787
3149,1389.038385,1.778269374,0.000974693,1.048584082,0.211523492,0.02392127,0.304346227
3162,1160.682394,1.611299551,0.000787979,1.019772218,0.362807895,0.026761848,0.482145383
3165,1232.007644,1.651579157,0.000794908,1.023405072,0.321899339,0.028690736,0.445610411
3165,1236.606307,1.6521158,0.000788677,1.020360985,0.332768916,0.027074134,0.475720833
3169.696,1178.15326,1.621132778,0.000789799,1.020021885,0.35622517,0.026605763,0.47939097
3215,1119.925147,1.583952965,0.000759414,1.01905768,0.381393002,0.02959533,0.490162441
3259,1400.136006,1.747577506,0.00082017,1.029257715,0.262164382,0.028018449,0.399458233
3265,1297.325915,1.680589542,0.000770368,1.019530755,0.323092102,0.027384598,0.48472987
3265,1161.745349,1.604722185,0.000750371,1.018940165,0.36718646,0.030247856,0.491437883
3280,1610.678034,1.91867087,0.001032465,1.064186715,0.143628542,0.023353895,0.26090946
3310,1642.07722,1.912511143,0.000944441,1.047763422,0.172338363,0.023868945,0.308273263
3313,1176.046384,1.614624099,0.00076026,1.019416353,0.369286571,0.028049268,0.485943666
3314.696,1327.84047,1.706043497,0.000805508,1.021816734,0.315001439,0.024133337,0.460771894
3365,1279.875398,1.673838904,0.000773222,1.023231165,0.32318047,0.028485759,0.447433695
3365,1090.654638,1.555049763,0.00070054,1.011430732,0.424134368,0.029562908,0.601475323
3365,1391.231961,1.725700512,0.000752245,1.018407991,0.306269763,0.027562278,0.497448054
3415,1416.063082,1.735495339,0.00073862,1.017994814,0.302884989,0.028648768,0.502247531
3452,1557.149783,1.821131807,0.000778275,1.024576679,0.254842519,0.02732309,0.435725951
3465,1359.181196,1.699294978,0.000714387,1.014178508,0.330646978,0.028269351,0.553856971
3478,1560.484825,1.826472839,0.000789437,1.029029532,0.238525522,0.028797088,0.40176914
3482,1471.660283,1.770358577,0.00075439,1.021403235,0.284274588,0.02797578,0.464827946
3501,1698.263407,1.892183236,0.000771632,1.024137073,0.232615459,0.02719074,0.439542044
3515,1682.100549,1.890458592,0.000789258,1.027620236,0.22545863,0.026996158,0.411890057
3515,1669.411166,1.887869593,0.000800615,1.029263376,0.223171757,0.026547598,0.400281516
3565,1432.815313,1.734553891,0.000700043,1.014490735,0.315159069,0.029861193,0.548380025
3565,1648.140376,1.850445303,0.000721374,1.017333796,0.262979613,0.028590262,0.509798312
3575,1503.342313,1.776004494,0.000716169,1.017019539,0.293393562,0.029140473,0.513689645
3584.996,1882.136314,1.978689153,0.00074862,1.020535921,0.218875525,0.026497347,0.473509138
3609,1495.207829,1.81009633,0.000852744,1.046921006,0.200651012,0.029586332,0.3131542
3615,1495.86113,1.766172064,0.000696278,1.014645982,0.302336445,0.029993018,0.545710682
3629,1527.513353,1.791146673,0.000720884,1.018339059,0.287763242,0.028624973,0.497479289
3658,1825.559722,1.948035607,0.000736317,1.02095249,0.228078113,0.027749532,0.469168918
3697,1832.196847,2.003482001,0.000897572,1.058700395,0.127027828,0.028162416,0.277299429
3722,1882.086542,2.030391001,0.000895469,1.058622986,0.123141155,0.027917475,0.277668168
3765.025,2044.420939,2.055854722,0.000724028,1.020367944,0.204604916,0.02766651,0.474930732
3789,2205.963403,2.203693204,0.000893552,1.05841374,0.099197396,0.026732339,0.278660845
3815,1644.291708,1.84188506,0.000686291,1.015829859,0.27789732,0.030155049,0.527770379
3815,2183.454808,2.128514872,0.000728788,1.023306835,0.182227061,0.028804017,0.446922138
3841.696,1772.424785,1.913115543,0.000702154,1.019262407,0.24661464,0.029988277,0.486410403
3865,1600.387085,1.816407629,0.000674461,1.015129733,0.289277159,0.031662329,0.53690496
3865,1549.993268,1.804598147,0.00071071,1.020401683,0.288331263,0.028729735,0.474371718
