p_sat,Rgo,Bo,Bg,Bw,Visc_o,Visc_g,Visc_w
3169.696,963.3220511,1.519186375,0.000789799,1.020021885,0.377142706,0.026605763,0.47939097
4115.025,1481.770071,1.764600706,0.000652718,1.014453687,0.285039091,0.032409076,0.544176171
3005.696,929.0408718,1.500120208,0.000811156,1.019831332,0.388911398,0.026314214,0.481563181
1265.025,331.1021515,1.222794591,0.002039628,1.023237948,0.61319273,0.014795375,0.439453488
5276,2031.541856,2.073383027,0.000604544,1.017546564,0.187681109,0.032018134,0.496490094
4925,1742.65637,1.926604807,0.000631375,1.019956136,0.213954457,0.031644441,0.47484212
4884,1760.208052,1.942670144,0.000639723,1.021331525,0.203852863,0.031043965,0.462356533
3815,1385.217387,1.747392711,0.000728788,1.023306835,0.238980768,0.028804017,0.446922138
4374,1517.848815,1.813188346,0.000673809,1.021700432,0.234170228,0.030251871,0.460625923
4161,1423.751425,1.758115622,0.000684128,1.020789568,0.256225081,0.030399029,0.469775021
5490,2193.269255,2.164735487,0.00059582,1.017697337,0.17079331,0.031631034,0.493187849
4633,1735.729682,1.928156478,0.000654421,1.021209998,0.203532413,0.030628549,0.464359225
4618,1464.02222,1.81870917,0.000697934,1.031050684,0.211936015,0.029013856,0.391589994
4856,1940.515629,2.00844885,0.000622747,1.017455206,0.204694948,0.034323516,0.500735738
5098,2069.390613,2.082095791,0.000617535,1.019069242,0.187030203,0.034431355,0.482422295
4695,1900.517128,2.037364345,0.000664876,1.023845366,0.169494589,0.028896935,0.441562775
3658,1254.574404,1.675961311,0.000736317,1.02095249,0.272657553,0.027749532,0.469168918
3515,1141.360907,1.63220804,0.000789258,1.027620236,0.269200937,0.026996158,0.411890057
3515,1100.518114,1.615973782,0.000800615,1.029263376,0.272502105,0.026547598,0.400281516
4815,1787.437234,1.936330978,0.000632971,1.019397427,0.217692195,0.033838521,0.480829354
7295,2659.41788,2.398794453,0.000524856,1.012722134,0.160305822,0.03538262,0.521487541
4735,1739.253371,1.913492918,0.000636514,1.019046359,0.221698107,0.032931614,0.484778344
2236.696,610.4123184,1.345114031,0.001048767,1.021097297,0.532701197,0.020825522,0.466526237
3314.696,888.9767839,1.497146906,0.000805508,1.021816734,0.379896533,0.024133337,0.460771894
4498,1714.457169,1.869518202,0.000622467,1.013636985,0.268154982,0.037759068,0.551626577
3365,1125.834165,1.599662872,0.000752245,1.018407991,0.323738289,0.027562278,0.497448054
3955,1417.289131,1.745560471,0.000686876,1.018361022,0.266676131,0.030663741,0.495975001
4349,1636.11999,1.831844939,0.000632211,1.014073613,0.277077283,0.036964538,0.547146745
3915,1368.025441,1.71436741,0.000681438,1.017003954,0.290627557,0.031253515,0.512156615
4133,1541.451113,1.807530231,0.000672848,1.018755667,0.246680524,0.032002561,0.490824138
4397,1610.343659,1.846242034,0.000653454,1.017987371,0.237343624,0.031477654,0.497923903
5706,2361.133212,2.26751725,0.000602166,1.022207851,0.151458968,0.032448805,0.451543504
4809,1918.811764,2.026341874,0.000644017,1.021266153,0.182382427,0.03080314,0.463223836
4257,1574.055325,1.826454775,0.000666872,1.019297392,0.24051502,0.032149104,0.484512317
4127,1559.766397,1.815992198,0.000668966,1.017588209,0.245054903,0.031469486,0.503993125
4503,1714.200661,1.876517093,0.000618305,1.012228478,0.25688809,0.033658123,0.57248576
4335,1614.673558,1.814131232,0.000616685,1.010537438,0.301189339,0.03611006,0.603357701
2900,950.6603806,1.512935467,0.00083277,1.0209594,0.359972503,0.026242397,0.469283454
3584.996,1233.079931,1.669176805,0.00074862,1.020535921,0.269356115,0.026497347,0.473509138
