p_sat,temperature,gamma_s,API,Rs,Bo_psat,Bg_psat,visc_o_psat,source,gamma_c,HGOR
3915.0,154.0,0.8400979916189684,45.09,1759.0,1.899785298718427,,0.362,PVT_Data,0.8308338579405888,False
4133.0,162.0,0.8433897364771152,47.21,2163.0,2.1421,,0.174,PVT_Data,0.8336520240821609,True
4397.0,162.0,0.8020256836757004,47.8,2369.0,2.2797,,0.155,PVT_Data,0.7926498303620966,True
5706.0,190.0,0.7405717550229082,54.83,10964.788499999999,,0.0006225804192854207,,PVT_Data,0.7306410513820757,True
4809.0,177.0,0.7664785858647732,52.46,5720.1431999999995,,0.0006756345897884589,,PVT_Data,0.7566447502656133,True
4257.0,165.0,0.8370833424921806,47.27,2453.0,2.3198206028112054,,0.1697175980790222,PVT_Data,0.8274061599458878,True
4127.0,158.0,0.8258675636156648,47.86,2179.0347581216583,2.14110065649654,,0.21029315067669996,PVT_Data,0.8162008748734978,True
4503.0,143.0,0.8034401251117068,47.09,2238.0,2.154,,0.17400000000000002,PVT_Data,0.794187247044704,True
4335.0,135.0,0.8499432026382922,44.46,1973.0,2.006213457110149,,0.263,PVT_Data,0.8407014573501994,False
2900.0,159.0,0.8908144093568673,43.6,1315.0,1.697,,0.316,PVT_Data,0.8813156178776178,False
3584.996,163.0,0.7856435794554659,47.77129852183174,1883.8370124237647,1.99739661192361,,0.2286,PVT_Data,0.7764647512079643,False
3313.0,157.0,0.8587548746518106,40.2,1077.0,1.543,,0.419,PVT_Data,0.8503120085874929,False
2551.0,151.0,0.8985,40.7,828.0,1.427,,0.511,PVT_Data,0.8895565080163353,False
2528.0,153.0,0.8790133495145631,39.3,824.0,1.45,,0.489,PVT_Data,0.8705647902968316,False
2562.0,153.0,0.8681583143507972,42.6,878.0,1.455,,0.413,PVT_Data,0.8591134270624613,False
1714.9959999999999,170.0,0.9868600867678958,38.33,461.0,1.2956,,0.984,PVT_Data,0.9776090792248566,False
1614.9959999999999,165.0,0.9594061224489796,37.9,441.0,1.2822,,0.915,PVT_Data,0.950513367459265,False
3575.0,151.0,0.8336257568073961,44.7,1428.0,1.712,,0.309,PVT_Data,0.8245125069131489,False
3131.0,161.0,0.8554297153024911,43.6,1124.0,1.586,,0.376,PVT_Data,0.8463082323028185,False
2992.0,160.0,0.8721955254197388,44.4,1178.0,1.662,,0.313,PVT_Data,0.862724620954989,False
1614.9959999999999,175.0,0.9765124999999999,37.82,440.0,1.2888,,1.107,PVT_Data,0.9674802913233027,False
3629.0,156.0,0.8226914671216143,44.0,1477.0,1.751,,0.314,PVT_Data,0.8138385927619682,False
2788.0,159.0,0.8415551982851018,41.1,933.0,1.488,,0.473,PVT_Data,0.8330961975980817,False
3482.0,165.0,0.8442948717948717,44.3,1482.0,1.777,,0.275,PVT_Data,0.8351475805079692,False
2976.0,157.0,0.8496554455445545,42.2,1010.0,1.523,,0.356,PVT_Data,0.8408864484224163,False
2814.696,159.0,0.836355504587156,42.44,872.0,1.4717,,0.52,PVT_Data,0.8276746810857256,False
2364.696,156.0,0.8380382914572865,41.48,779.0,1.4186,,0.624,PVT_Data,0.8295367585173543,False
